title,box_off_num
후궁 : 제왕의 첩,3301282.5
"안녕, 하세요!",68579.28
천국의 아이들,5.7538557
할머니는 일학년,5678.1562
두레소리,1.4278145
"봄, 눈",2192121.8
은교,1298715.6
간기남,2243109.2
시체가 돌아왔다,2395573.5
말하는 건축가,813.6218
밀월도 가는 길,9894.777
파파,1386912.8
점박이:한반도의 공룡3D,69846.79
댄싱퀸,1970084.5
누구의 딸도 아닌 해원,64109.914
신세계,6211815.5
굿바이 홈런,3296.1787
불륜의 시대,1977.6091
남쪽으로 튀어,1049606.5
좋은 친구들,998148.9
지슬 - 끝나지 않은 세월 2,2226.1616
누구나 제 명에 죽고 싶다,11255.532
사이코메트리,1135855.8
환상속의 그대,7026.229
몽타주,2156905.5
"힘내세요, 병헌씨",2029.6162
꼭두각시,36803.953
홀리,769.9434
마이 라띠마,1374982.2
더 테러 라이브,796479.06
슈퍼피쉬 - 끝없는 여정,1004.8081
콩가네,4.9971714
허풍,1246.0806
젊은 엄마,860.0713
노라노,42893.797
노브레싱,8034.8247
말하는 건축 시티:홀,992.5839
댄서김의 은밀한 교수법,3.326202
소원,2632305.5
고양이 소녀,588.5414
롤플레이 2 : 동침,139.42534
동창생,2475238.0
용의자,12251785.0
미녀전쟁,868.7797
캐치미,1144879.0
그 강아지 그 고양이,39514.633
화려한 외출,3.0838275
오하이오 삿포로,123.526276
마이 리틀 히어로,2516069.2
박수건달,4415502.5
배꼽,6.7990417
나가요 미스콜,1988.3048
우아한 거짓말,19943.375
미스터 컴퍼니,3874.7449
우리별 일호와 얼룩소,2695.4724
찌라시: 위험한 소문,1224720.1
조선미녀삼총사,2546271.8
만찬,6225.2075
한 번도 안 해본 여자,2470.42
살인자,5.128939
  이것이 우리의 끝이다,1818.804
그댄 나의 뱀파이어,988.8321
황제를 위하여,9.103939
레디액션! 폭력영화,1155.1802
스퀴시랜드,12067.7705
우는 남자,1366536.1
하이힐,2575868.8
도희야,19575.232
표적,586031.1
10분,51938.152
메이크 유어 무브,33404.48
카토 프로젝트,670.2694
녀녀녀,1488.7969
방황하는 칼날,2980211.0
바리새인,4.114597
욕망의 독: 중독,960.9668
설계,4996.5
레쓰링,1029.3861
원 컷 - 어느 친절한 살인자의 기록,1777.6665
픽업 아티스트,101.497604
옹녀뎐,4.7425704
왓니껴,1339.9534
족구왕,18536.975
내 연애의 기억,5.047019
바세코의 아이들,3097.9077
명량,7288784.5
군도: 민란의 시대,5205900.5
산타바바라,6548.1357
나는 야한 여자가 좋다,286.72055
숙희,856.8194
더 테너 리리코 스핀토,1314.5049
기술자들,644151.3
신화 라이브 3D 더 레전드 컨티뉴스,1392.257
악사들,10597.4
울언니,3683.1702
정사: 위험한 성적유희,234.01091
레디액션 청춘,421676.0
"제자, 옥한흠",1052.5682
환상,500.91486
위층여자,223.93652
가자! 장미여관으로 3 - 방황,1504.632
나는 야한 여자가 좋다 3,286.72055
스물,1091981.4
그라운드의 이방인,3783.0935
살인의뢰,778479.1
살인캠프,1267.587
헬머니,642208.7
조류인간,9.570542
최강전사 미니특공대 : 새로운 악당의 습격,16179.107
생각보다 맑은,2.4336026
고양이 장례식,2855.2324
설해,63552.664
나의 절친 악당들,975316.0
연평해전,1370614.8
극비수사,1885897.5
성난 화가,2970.4297
은밀한 유혹,2640388.5
혜경궁 홍씨,2550.9392
무뢰한,633418.2
간신,2571796.5
연애의 맛,6.17681
잡식가족의 딜레마,10589.378
플랑크 상수,311.31293
장수상회,836987.5
파울볼,38956.984
춘희막이,6.8818626
덫: 치명적인 유혹,844.88477
션샤인 러브,13263.019
사도,2951654.5
돼지 같은 여자,56018.2
사랑이 이긴다,26288.47
슈퍼레이서 엔지,1243.8229
제 7기사단,4.07939
고백,4.103134
미쓰 와이프,148188.36
위로공단,6468.1274
베테랑,1925640.9
악인은 살아 있다,5757.3228
쓰리 썸머 나잇,245253.4
마돈나,155329.44
"나의 아들, 나의 어머니",3729.4893
슬픈남자,3.3911138
타이밍,8151.3115
타투,11.912494
어떤이의 꿈,285.89923
해에게서 소년에게,4.811733
울보 권투부,5127.43
어떤살인,4.0186143
말하지 못한 비밀,5.827285
조선안방 스캔들-칠거지악 2,374.16565
